artist,num  >= 6.5,percent >= 6.5,num  >= 6,percent > 6,mean,std,median,min,max,count
Bartolome Esteban Murillo,0,0,9,0.05263157895,5.468826576,0.48203209,5.592205048,4.244462013,6.452132225,171
Salvador Dali,0,0,20,0.04175365344,5.168799382,0.4817087339,5.171499252,3.471055508,6.471632004,479
Ernst Ludwig Kirchner,0,0,14,0.04117647059,5.262579374,0.4657427807,5.282995701,3.954546452,6.361228466,340
Juan Gris,0,0,8,0.04081632653,5.570106599,0.2667517222,5.587167501,4.638758659,6.161596298,196
Raphael Kirchner,0,0,21,0.04069767442,5.300412161,0.4269425518,5.331265926,3.884365082,6.400113106,516
Fernand Leger,0,0,9,0.04035874439,5.272252543,0.506435527,5.376870155,3.778059959,6.425514698,223
Aubrey Beardsley,0,0,6,0.03726708075,5.38662056,0.4066601655,5.397648335,4.113458157,6.260643482,161
M.C. Escher,0,0,4,0.03174603175,5.176107437,0.5926597648,5.289166927,3.402100563,6.241222858,126
Ivan Bilibin,0,0,5,0.02923976608,5.048122063,0.6099149374,5.09840107,3.495790005,6.461176395,171
Marc Chagall,0,0,22,0.02875816993,5.010107101,0.5093519039,4.969815731,3.618714333,6.349525452,765
Mikalojus Ciurlionis,0,0,1,0.02083333333,5.496981035,0.3142647132,5.550305128,4.785728931,6.020941258,48
Georges Braque,0,0,4,0.01923076923,5.318549457,0.3640471139,5.367442369,4.42666769,6.403018475,208
Niko Pirosmani,0,0,1,0.008849557522,5.338089361,0.3287158704,5.339784622,4.386454105,6.086249828,113
Hieronymus Bosch,0,0,1,0.005494505495,5.160493712,0.3833654633,5.217955828,3.804160595,6.029177666,182
Gene Davis,0,0,0,0,5.060271134,0.4255002806,5.098944664,3.80459547,5.807443619,155
Sam Francis,0,0,0,0,4.802990125,0.2843780653,4.792360306,3.937551022,5.465871334,317
